Timestamp;QPU_Name;Estado;Tareas_Normales_Cola;Trabajos_Hibridos_Cola
2026-05-05 00:49:51;Cepheus-1-108Q;ONLINE;1;0
2026-05-05 00:49:51;Garnet;ONLINE;0;0
2026-05-05 00:49:51;Forte 1;ONLINE;1;1
2026-05-05 01:49:56;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 01:49:56;Garnet;ONLINE;1;0
2026-05-05 01:49:56;Forte 1;ONLINE;1;0
2026-05-05 02:50:02;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 02:50:02;Garnet;ONLINE;1;0
2026-05-05 02:50:02;Forte 1;ONLINE;1;0
2026-05-05 03:50:07;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 03:50:07;Garnet;ONLINE;0;0
2026-05-05 03:50:07;Forte 1;ONLINE;1;0
2026-05-05 04:50:13;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 04:50:13;Garnet;ONLINE;0;0
2026-05-05 04:50:13;Forte 1;ONLINE;0;0
2026-05-05 05:50:18;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 05:50:18;Garnet;ONLINE;0;0
2026-05-05 05:50:18;Forte 1;ONLINE;0;0
2026-05-05 06:50:23;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 06:50:23;Garnet;ONLINE;0;0
2026-05-05 06:50:23;Forte 1;ONLINE;0;0
2026-05-05 07:50:29;Cepheus-1-108Q;ONLINE;1;0
2026-05-05 07:50:29;Garnet;ONLINE;0;0
2026-05-05 07:50:29;Forte 1;ONLINE;0;0
2026-05-05 08:50:34;Cepheus-1-108Q;ONLINE;1;0
2026-05-05 08:50:34;Garnet;ONLINE;0;0
2026-05-05 08:50:34;Forte 1;ONLINE;0;0
2026-05-05 09:50:40;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 09:50:40;Garnet;ONLINE;0;0
2026-05-05 09:50:40;Forte 1;ONLINE;0;0
2026-05-05 10:50:45;Cepheus-1-108Q;ONLINE;0;0
